,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause,class,predicted
0,8.22e+17,#M25 - MINOR - Hertfordshire - Anti-Clockwise - Congestion - Between J21 for M1 Hertfordshire and J19 for A41 Chandler's Cross,2017-01-18T06:49:13.000Z,8.12e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk ðŸ‡¬ðŸ‡§! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568,0,conges,0,0.0
1,8.23e+17,#M25 anti-clockwise between J20 and J19 | Anti-Clockwise | Road Works | Hertfordshire https://t.co/FVDXuGcIcP #east #uktraffic,2017-01-21T22:18:29.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945,0,work,0,0.0
2,8.24e+17,#M25 - MINOR - Hertfordshire Anti-Clockwise - Congestion - Between J21 for M1 Hertfordshire and J19 for A41 Chandler's Cross,2017-01-25T06:43:03.000Z,8.12e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk ðŸ‡¬ðŸ‡§! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568,0,conges,0,0.0
3,8.24e+17,#M25 Heavy on M25 anticlockwise between J20 and J15 M4.,2017-01-25T09:03:58.000Z,387584807.0,Radio Jackie Travel,Tweeting you information on the roads and rails between 7am and 9pm. For the very latest info please stay tuned to 107.8 Radio Jackie on the air and online,6087,0,heavy,0,0.0
4,8.24e+17,"#Traffic #update M25 anti-clockwise between J20 and J19 | Anti-Clockwise | Road Works https://t.co/eKqL0pbFjK January 25, 2017",2017-01-25T22:02:03.000Z,7.22e+17,UK TRAFFIC SOLUTIONS,,11,0,work,0,0.0
5,8.25e+17,Eastern Traffic M25 anti-clockwise between J20 and J19 | Anti-Clockwise | Road Works https://t.co/K8lwG9qKoN Drive Safe All,2017-01-27T08:55:17.000Z,436707362.0,UK.HGV.DriverNetwork,The UK HGV Driver Network provides travel & traffic news weather alerts and job alerts 24/7. Follow us for up to date & relevant information,1618,0,work,0,0.0
6,8.25e+17,#M25 anti-clockwise between J20 and J19 | Anti-Clockwise | Road Works | Hertfordshire https://t.co/MaVGHU1SOP #east #uktraffic,2017-01-28T00:02:01.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945,0,work,0,0.0
7,8.26e+17,#M25 Heavy on M25 anticlockwise between J19 and J15 M4.,2017-01-30T07:51:54.000Z,387584807.0,Radio Jackie Travel,Tweeting you information on the roads and rails between 7am and 9pm. For the very latest info please stay tuned to 107.8 Radio Jackie on the air and online,6087,0,heavy,0,0.0
8,8.26e+17,#M25 - MINOR - Hertfordshire Anti-Clockwise - Congestion - Between J21 for M1 Hertfordshire and J19 for A41 Chandler's Cross,2017-01-31T06:31:12.000Z,8.12e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk ðŸ‡¬ðŸ‡§! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568,0,conges,0,0.0
9,8.16e+17,#M25 anti-clockwise between J19 and J18 | Anti-Clockwise | Road Works | Hertfordshire https://t.co/tGXFsdfCrk #east #uktraffic,2017-01-03T10:04:31.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945,0,work,0,0.0
10,8.17e+17,#M25 anti-clockwise between J19 and J18 | Anti-Clockwise | Road Works | Hertfordshire https://t.co/UZ0BeW8vSO #east #uktraffic,2017-01-04T12:22:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945,0,work,0,0.0
11,8.17e+17,#M25 anti-clockwise between J19 and J18 | Anti-Clockwise | Road Works | Hertfordshire https://t.co/AbtiJzhn2t #east #uktraffic,2017-01-04T22:37:52.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945,0,work,0,0.0
12,8.19e+17,#M25 anti-clockwise between J19 and J18 - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-11T22:30:08.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500,0,conges full,0,1.0
13,8.21e+17,#M25 - MINOR - Hertfordshire Anti-Clockwise - Congestion - Between J21 for M1 Hertfordshire and J18 for A404 Rickmansworth,2017-01-16T06:40:33.000Z,8.12e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk ðŸ‡¬ðŸ‡§! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568,0,conges,0,0.0
14,8.21e+17,#M25 - MINOR - Hertfordshire Anti-Clockwise - Congestion - Between J21 for M1 Hertfordshire and J18 for A404 Rickmansworth,2017-01-17T06:57:45.000Z,8.12e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk ðŸ‡¬ðŸ‡§! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568,0,conges,0,0.0
15,8.22e+17,#M25 - MINOR - Hertfordshire Anti-Clockwise - Congestion - Between J20 for A41 Hertfordshire and J18 for A404 Rickmansworth,2017-01-18T07:38:37.000Z,8.12e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk ðŸ‡¬ðŸ‡§! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568,0,conges,0,0.0
16,8.22e+17,#M25 anti-clockwise between J19 and J18 - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-20T15:39:07.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500,0,conges full,0,1.0
17,8.23e+17,#M25 anti-clockwise between J19 and J18 | Anti-Clockwise | Road Works | Hertfordshire https://t.co/UZ0BeW8vSO #east #uktraffic,2017-01-21T14:58:21.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945,0,work,0,0.0
18,8.23e+17,#M25 - MINOR - Hertfordshire Anti-Clockwise - Congestion - Between J21 for M1 Hertfordshire and J18 for A404 Rickmansworth,2017-01-23T06:49:08.000Z,8.12e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk ðŸ‡¬ðŸ‡§! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568,0,conges,0,0.0
19,8.24e+17,#M25 - MINOR - Hertfordshire Anti-Clockwise - Congestion - Between J21 for M1 Hertfordshire and J18 for A404 Rickmansworth,2017-01-24T06:49:47.000Z,8.12e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk ðŸ‡¬ðŸ‡§! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568,0,conges,0,0.0
20,8.25e+17,#M25 - MINOR - Hertfordshire Anti-Clockwise - Congestion - Between J21 for M1 Hertfordshire and J18 for A404 Rickmansworth,2017-01-26T06:35:27.000Z,8.12e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk ðŸ‡¬ðŸ‡§! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568,0,conges,0,0.0
21,8.25e+17,#M25 Heavy anticlockwise between J20 and J16 M40.,2017-01-27T07:37:03.000Z,387584807.0,Radio Jackie Travel,Tweeting you information on the roads and rails between 7am and 9pm. For the very latest info please stay tuned to 107.8 Radio Jackie on the air and online,6087,0,heavy,0,0.0
